youtube_id,cluster
tsne_0,-1
tsne_1,-1
tsne_2,-1
tsne_3,0
tsne_4,-1
tsne_5,1
tsne_6,2
tsne_7,3
tsne_8,4
tsne_9,5
tsne_10,6
tsne_11,-1
tsne_12,7
tsne_13,8
tsne_14,9
tsne_15,10
tsne_16,11
tsne_17,12
tsne_18,13
tsne_19,14
tsne_20,15
tsne_21,16
tsne_22,-1
tsne_23,-1
tsne_24,17
tsne_25,-1
tsne_26,18
tsne_27,-1
tsne_28,19
tsne_29,20
tsne_30,21
tsne_31,-1
tsne_32,22
tsne_33,23
tsne_34,24
tsne_35,25
tsne_36,-1
tsne_37,26
tsne_38,-1
tsne_39,27
tsne_40,28
tsne_41,24
tsne_42,-1
tsne_43,29
tsne_44,-1
tsne_45,-1
tsne_46,30
tsne_47,31
tsne_48,32
tsne_49,33
tsne_50,34
tsne_51,35
tsne_52,36
tsne_53,-1
tsne_54,37
tsne_55,-1
tsne_56,-1
tsne_57,-1
tsne_58,38
tsne_59,-1
tsne_60,39
tsne_61,40
tsne_62,41
tsne_63,33
tsne_64,-1
tsne_65,42
tsne_66,43
tsne_67,44
tsne_68,45
tsne_69,-1
tsne_70,46
tsne_71,47
tsne_72,48
tsne_73,49
tsne_74,-1
tsne_75,50
tsne_76,51
tsne_77,52
tsne_78,-1
tsne_79,53
tsne_80,54
tsne_81,37
tsne_82,55
tsne_83,56
tsne_84,57
tsne_85,58
tsne_86,-1
tsne_87,59
tsne_88,60
tsne_89,61
tsne_90,38
tsne_91,62
tsne_92,63
tsne_93,64
tsne_94,65
tsne_95,-1
tsne_96,66
tsne_97,67
tsne_98,68
tsne_99,69
tsne_100,-1
tsne_101,-1
tsne_102,-1
tsne_103,70
tsne_104,71
tsne_105,-1
tsne_106,72
tsne_107,73
tsne_108,74
tsne_109,75
tsne_110,-1
tsne_111,-1
tsne_112,-1
tsne_113,34
tsne_114,76
tsne_115,-1
tsne_116,77
tsne_117,-1
tsne_118,78
tsne_119,-1
tsne_120,79
tsne_121,80
tsne_122,81
tsne_123,-1
tsne_124,82
tsne_125,67
tsne_126,83
tsne_127,84
tsne_128,85
tsne_129,86
tsne_130,87
tsne_131,88
tsne_132,89
tsne_133,90
tsne_134,32
tsne_135,18
tsne_136,91
tsne_137,92
tsne_138,93
tsne_139,94
tsne_140,-1
tsne_141,95
tsne_142,96
tsne_143,-1
tsne_144,97
tsne_145,98
tsne_146,99
tsne_147,100
tsne_148,-1
tsne_149,101
tsne_150,102
tsne_151,103
tsne_152,-1
tsne_153,104
tsne_154,105
tsne_155,106
tsne_156,107
tsne_157,108
tsne_158,109
tsne_159,110
tsne_160,-1
tsne_161,111
tsne_162,112
tsne_163,113
tsne_164,114
tsne_165,115
tsne_166,-1
tsne_167,-1
tsne_168,11
tsne_169,-1
tsne_170,116
tsne_171,-1
tsne_172,-1
tsne_173,117
tsne_174,118
tsne_175,71
tsne_176,119
tsne_177,120
tsne_178,121
tsne_179,-1
tsne_180,122
tsne_181,-1
tsne_182,123
tsne_183,-1
tsne_184,-1
tsne_185,124
tsne_186,125
tsne_187,126
tsne_188,127
tsne_189,128
tsne_190,129
tsne_191,51
tsne_192,130
tsne_193,131
tsne_194,132
tsne_195,133
tsne_196,77
tsne_197,134
tsne_198,-1
tsne_199,135
tsne_200,-1
tsne_201,136
tsne_202,137
tsne_203,138
tsne_204,139
tsne_205,140
tsne_206,141
tsne_207,125
tsne_208,142
tsne_209,143
tsne_210,-1
tsne_211,30
tsne_212,144
tsne_213,-1
tsne_214,145
tsne_215,146
tsne_216,147
tsne_217,148
tsne_218,-1
tsne_219,149
tsne_220,150
tsne_221,151
tsne_222,152
tsne_223,149
tsne_224,12
tsne_225,153
tsne_226,75
tsne_227,154
tsne_228,-1
tsne_229,155
tsne_230,156
tsne_231,157
tsne_232,158
tsne_233,159
tsne_234,-1
tsne_235,160
tsne_236,161
tsne_237,162
tsne_238,163
tsne_239,164
tsne_240,165
tsne_241,166
tsne_242,167
tsne_243,168
tsne_244,169
tsne_245,170
tsne_246,100
tsne_247,171
tsne_248,172
tsne_249,-1
tsne_250,173
tsne_251,174
tsne_252,175
tsne_253,-1
tsne_254,64
tsne_255,176
tsne_256,177
tsne_257,178
tsne_258,179
tsne_259,-1
tsne_260,-1
tsne_261,180
tsne_262,181
tsne_263,182
tsne_264,-1
tsne_265,85
tsne_266,-1
tsne_267,-1
tsne_268,-1
tsne_269,183
tsne_270,184
tsne_271,185
tsne_272,186
tsne_273,61
tsne_274,187
tsne_275,188
tsne_276,189
tsne_277,190
tsne_278,191
tsne_279,192
tsne_280,155
tsne_281,-1
tsne_282,41
tsne_283,193
tsne_284,194
tsne_285,-1
tsne_286,195
tsne_287,196
tsne_288,184
tsne_289,197
tsne_290,198
tsne_291,199
tsne_292,200
tsne_293,201
tsne_294,-1
tsne_295,202
tsne_296,203
tsne_297,204
tsne_298,-1
tsne_299,205
tsne_300,206
tsne_301,207
tsne_302,-1
tsne_303,208
tsne_304,209
tsne_305,210
tsne_306,-1
tsne_307,-1
tsne_308,211
tsne_309,212
tsne_310,213
tsne_311,214
tsne_312,215
tsne_313,-1
tsne_314,216
tsne_315,-1
tsne_316,217
tsne_317,-1
tsne_318,-1
tsne_319,-1
tsne_320,218
tsne_321,219
tsne_322,-1
tsne_323,58
tsne_324,220
tsne_325,44
tsne_326,221
tsne_327,222
tsne_328,-1
tsne_329,-1
tsne_330,223
tsne_331,-1
tsne_332,-1
tsne_333,-1
tsne_334,224
tsne_335,225
tsne_336,226
tsne_337,227
tsne_338,-1
tsne_339,228
tsne_340,229
tsne_341,230
tsne_342,-1
tsne_343,231
tsne_344,-1
tsne_345,232
tsne_346,-1
tsne_347,233
tsne_348,234
tsne_349,-1
tsne_350,235
tsne_351,236
tsne_352,237
tsne_353,238
tsne_354,-1
tsne_355,239
tsne_356,240
tsne_357,241
tsne_358,142
tsne_359,242
tsne_360,-1
tsne_361,243
tsne_362,47
tsne_363,244
tsne_364,67
tsne_365,245
tsne_366,246
tsne_367,247
tsne_368,207
tsne_369,-1
tsne_370,248
tsne_371,-1
tsne_372,146
tsne_373,-1
tsne_374,27
tsne_375,249
tsne_376,250
tsne_377,-1
tsne_378,251
tsne_379,252
tsne_380,253
tsne_381,254
tsne_382,255
tsne_383,256
tsne_384,257
tsne_385,258
tsne_386,101
tsne_387,259
tsne_388,-1
tsne_389,260
tsne_390,261
tsne_391,262
tsne_392,263
tsne_393,264
tsne_394,265
tsne_395,-1
tsne_396,266
tsne_397,267
tsne_398,268
tsne_399,269
tsne_400,270
tsne_401,271
tsne_402,272
tsne_403,273
tsne_404,95
tsne_405,274
tsne_406,275
tsne_407,276
tsne_408,196
tsne_409,277
tsne_410,210
tsne_411,233
tsne_412,278
tsne_413,82
tsne_414,-1
tsne_415,279
tsne_416,-1
tsne_417,125
tsne_418,-1
tsne_419,280
tsne_420,-1
tsne_421,-1
tsne_422,-1
tsne_423,281
tsne_424,-1
tsne_425,282
tsne_426,70
tsne_427,283
tsne_428,-1
tsne_429,-1
tsne_430,-1
tsne_431,284
tsne_432,-1
tsne_433,-1
tsne_434,285
tsne_435,286
tsne_436,-1
tsne_437,287
tsne_438,288
tsne_439,35
tsne_440,289
tsne_441,290
tsne_442,291
tsne_443,-1
tsne_444,292
tsne_445,293
tsne_446,294
tsne_447,295
tsne_448,296
tsne_449,19
tsne_450,208
tsne_451,-1
tsne_452,297
tsne_453,298
tsne_454,299
tsne_455,-1
tsne_456,277
tsne_457,300
tsne_458,301
tsne_459,302
tsne_460,303
tsne_461,-1
tsne_462,304
tsne_463,-1
tsne_464,305
tsne_465,63
tsne_466,306
tsne_467,307
tsne_468,308
tsne_469,309
tsne_470,310
tsne_471,-1
tsne_472,311
tsne_473,312
tsne_474,313
tsne_475,314
tsne_476,18
tsne_477,-1
tsne_478,-1
tsne_479,199
tsne_480,112
tsne_481,9
tsne_482,315
tsne_483,20
tsne_484,316
tsne_485,-1
tsne_486,317
tsne_487,318
tsne_488,319
tsne_489,-1
tsne_490,320
tsne_491,321
tsne_492,322
tsne_493,323
tsne_494,324
tsne_495,325
tsne_496,326
tsne_497,327
tsne_498,-1
tsne_499,-1
tsne_500,328
tsne_501,-1
tsne_502,329
tsne_503,-1
tsne_504,330
tsne_505,331
tsne_506,332
tsne_507,333
tsne_508,334
tsne_509,335
tsne_510,156
tsne_511,336
tsne_512,-1
tsne_513,254
tsne_514,337
tsne_515,-1
tsne_516,338
tsne_517,-1
tsne_518,-1
tsne_519,339
tsne_520,-1
tsne_521,153
tsne_522,-1
tsne_523,-1
tsne_524,308
tsne_525,340
tsne_526,341
tsne_527,136
tsne_528,-1
tsne_529,342
